address,lat,lng
"24 DE NOVIEMBRE 1212, CABA",-58.410274,-34.625156
"3 ARROYOS 1357, CABA",-58.458478,-34.607851
"A. ALSINA 3145, CABA",-58.410648,-34.61279
"A. ALSINA 943, CABA",-58.379757,-34.610645
"A. M. DE JUSTO 2030, CABA",-58.365213,-34.622691
"ABASTO SHOPPING. AV. CORRIENTES 3247, CABA",-58.410921,-34.603531
"ACUÑA DE FIGUEROA 1030, CABA",-58.422033,-34.598976
"ADOLFO ALSINA 380, CABA",-58.371766,-34.610158
"AEROPUERTO JORGE NEWBERY, CABA",-58.413328,-34.556935
"AGÜERO 1412, CABA",-58.408312,-34.592914
"AGUILAR 2282, CABA",-58.44636,-34.568187
"AGUIRRE 229, CABA",-58.433549,-34.599828
"ALICIA M.DE JUSTO 1120, CABA",-58.366268,-34.610537
"ALMAFUERTE 876, CABA",-58.415823,-34.647922
"ALSINA 1960, CABA",-58.394139,-34.61169
"ALSINA 2747, CABA",-58.404958,-34.612347
"ANGEL GALLARDO 227, CABA",-58.435625,-34.603706
"ANIBAL TROILO 942, CABA",-58.432117,-34.603256
"ARAOZ 2091, CABA",-58.419518,-34.588567
"ARAOZ 2463, CABA",-58.415523,-34.586168
"ARAOZ 282, CABA",-58.438421,-34.600709
"ARÁOZ 832, CABA",-58.432389,-34.596862
"ARÁOZ DE LAMADRID 1001, CABA",-58.366385,-34.639669
"ARCE 940, CABA",-58.437064,-34.567353
"ARENALES 3537, CABA",-58.412756,-34.585935
"ARÉVALO 1376, CABA",-58.444009,-34.584045
"AREVALO 1830, CABA",-58.439289,-34.579881
"AUSTRIA 2447, CABA",-58.400596,-34.58557
"AV ACOYTE 25, CABA",-58.436573,-34.617872
"AV CORRIENTES 1834, CABA",-58.392848,-34.604514
"AV CRAMER 1733, CABA",-58.45815,-34.56824
"AV DONADO 4694, CABA",-58.49235,-34.549868
"AV. ACOYTE 44, CABA",-58.436775,-34.617896
"AV. ALICIA MOREAU DE JUSTO 1920, CABA",-58.365308,-34.621559
"AV. ALICIA MOREAU DE JUSTO 980- DÁRSENA 3, CABA",-58.366605,-34.608998
"AV. ALVAREZ JONTE 4461, CABA",-58.501961,-34.61772
"AV. ÁLVAREZ THOMAS 3040, CABA",-58.482022,-34.572541
"AV. BELGRANO 3231, CABA",-58.412009,-34.615314
"AV. BOYACÁ 1553, CABA",-58.467447,-34.611736
"AV. BULLRICH 345, CABA",-58.425342,-34.574925
"AV. CABILDO 1535, CABA",-58.451239,-34.566541
"AV. CABILDO 1577, CABA",-58.451786,-34.56625
"AV. CABILDO 1786, CABA",-58.454185,-34.565076
"AV. CABILDO 1965, CABA",-58.455443,-34.563304
"AV. CABILDO 2093, CABA",-58.456438,-34.562148
"AV. CABILDO 2280, CABA",-58.458231,-34.560426
"AV. CABILDO 2829, CABA",-58.461771,-34.556061
"AV. CALLAO 1012, CABA",-58.393312,-34.597102
"AV. CALLAO 1542, CABA",-58.391548,-34.591321
"AV. CALLAO 224, CABA",-58.392239,-34.606504
"AV. CALLAO 410, CABA",-58.392414,-34.604118
"AV. CASEROS 2739, CABA",-58.401077,-34.636226
"AV. CHICLANA 3045, CABA",-58.407167,-34.630974
"AV. CONGRESO 2346, CABA",-58.461745,-34.555125
"AV. CÓRDOBA 1526, CABA",-58.388579,-34.599459
"AV. CÓRDOBA 1552, CABA",-58.389035,-34.599485
"AV. CORDOBA 2054, CABA",-58.396489,-34.599796
"AV. CÓRDOBA 2122, CABA",-58.397929,-34.599824
"AV. CORDOBA 3580, CABA",-58.416951,-34.59792
"AV. CÓRDOBA 5219, CABA",-58.436406,-34.589985
"AV. CORDOBA 673, CABA",-58.376421,-34.598692
