name,address,level
EMus 02,"Camarones 4351, C1407FMU, CABA",other
Col La Anunciata,"Arenales 2065, C1124AAE, CABA","preschool, primary, secondary"
EPjs 06,"Avda. Eva Perón 7431, C1439BTM, CABA",primary
EPjs 02,"Avda. Pte. Manuel Quintana 31/07, C1014ACA, CABA",primary
Col Horacio Watson,"Díaz Colodrero 2431, C1431FMA, CABA","preschool, primary, secondary"
EPjc 21,"Pinto 3910, C1429APP, CABA",primary
Casa de la Educación,"Boulogne Sur Mer 626, C1213AAJ, CABA","primary, secondary"
CFP 06 CIFPA,"Avda. Asamblea 153, C1424COB, CABA",secondary
EI Pulgarcito,"Cerrito 572, C1010AAL, CABA",other
Esc de la Paz,"Gral. Venancio Flores 65, C1405CGA, CABA","preschool, primary, secondary"
