address,lat,lng
"BARILARI 1392, CABA",-58.451332,-34.550735
"AV. CALLAO 224 2º PISO, CABA",NA,NA
"LAVALLE 1290 1ºPiso Of.""112"", CABA",NA,NA
"JERONIMO SALGUERO 1452, CABA",-58.418236,-34.593436
"ALMAFUERTE 876 DTO. A, CABA",NA,NA
"24 DE NOVIEMBRE 1212, CABA",-58.410274,-34.625156
"Avenida Caseros 731, 3º ""O"",, CABA",NA,NA
"ARAOZ 2463 6º ""13"", CABA",NA,NA
"JUNIN 1616 6º PISO, CABA",NA,NA
"Pje. Florencio Balcarce 73 1er, CABA",NA,NA
"J. M. DE PUEYRREDON 2385 7 A, CABA",NA,NA
"JOSE BONIFACIO 2876 7º ""A"", CABA",NA,NA
"TALCAHUANO 758, PB, B, CABA",NA,NA
"Avda. LIBERTADOR 6550 5º ""C"", CABA",NA,NA
"CIUDAD DE LA PAZ 2330, CABA",-58.459581,-34.560462
"JOSE MARMOL 915, 2º 5, CABA",NA,NA
"AV. CABILDO 1535 3º. C, CABA",NA,NA
"RUGGIERI 2733 3º ""C"", CABA",NA,NA
"TUCUMAN 927 6 º PISO, CABA",NA,NA
"Medrano 1970 8º D, CABA",NA,NA
"OLAZABAL 1861, CABA",-58.453365,-34.557175
"GASPAR M.DE JOVELLANOS 1068, CABA",-58.371649,-34.641938
"AYACUCHO 1050, CABA",-58.396159,-34.596689
"HUMAHUACA 4214 1º A, CABA",NA,NA
"AV. ENTRE RIOS 1181, CABA",-58.391610,-34.622459
"LAVALLEJA 519 1º, CABA",NA,NA
"SARMIENTO 212 9º A 2, CABA",NA,NA
"PRINGLES 289 7º C, CABA",NA,NA
"AV. CORDOBA 673 PISO 1 A, CABA",NA,NA
"AV. LAS HERAS 3766 3º B, CABA",NA,NA
"HONDURAS 5582, CABA",-58.436100,-34.584390
"VIAMONTE 947 1° A, CABA",NA,NA
"LIBERTAD 567 10º PISO, CABA",NA,NA
"AV.DIRECTORIO 903, CABA",-58.439757,-34.628814
"PAVON 2540, CABA",-58.400616,-34.627423
"A. M. DE JUSTO 2030 2º OF. 219, CABA",NA,NA
"GUATEMALA 4294 5º C, CABA",NA,NA
"PARAGUAY 2019 1º B, CABA",NA,NA
"AV. INDEPENDENCIA 1511 4º, CABA",NA,NA
"LAVALLE 1634, CABA",-58.389851,-34.603091
"LUIS VIALE 89, CABA",-58.443889,-34.602154
"VIAMONTE 1546 2º OF 200, CABA",NA,NA
"JOSE BONIFACIO 2524, CABA",-58.462960,-34.632967
"RIOBAMBA 144, CABA",-58.393553,-34.607608
"RIOBAMBA 460 3ro A, CABA",NA,NA
"AGUIRRE 229 PB 2, CABA",NA,NA
"CUBA 3622 7º, CABA",NA,NA
"Nicasio Oroño 2424, CABA",-58.459943,-34.598670
"LIBERTAD 567 10º, CABA",NA,NA
"AV ACOYTE 25, PISO 4º OF E, CABA",NA,NA
"AUSTRIA 2447 4º C, CABA",NA,NA
"PASAJE RODOLFO RIVAROLA 142, CABA",-58.385450,-34.607089
"UGARTECHE 3107 5º A, B Y C, CABA",NA,NA
"ETCHEVERRIA 2079 3º C, CABA",NA,NA
"CONDOR 2150, CABA",-58.429123,-34.657565
"AV. PEDRO DE MENDOZA 1929, CABA",-58.361729,-34.639631
"AV. CONGRESO 2346 12 E, CABA",NA,NA
"QUITO 3833DTO 2, CABA",NA,NA
"AV. ELCANO 3316 2º B, CABA",NA,NA
"AV. ING HUERGO 1485, CABA",-58.364247,-34.624693
